player_id,is_werewolf,category,total_sentences,old_filter_preserved,new_filter_preserved,old_preservation_rate,new_preservation_rate
game13_Player5,False,PLAN,2,0,2,0.0,1.0
game13_Player5,False,JUSTIFICATION,1,0,1,0.0,1.0
game13_Player5,False,ASSERTION,3,0,3,0.0,1.0
game13_Player3,True,PLAN,2,0,2,0.0,1.0
game13_Player3,True,JUSTIFICATION,1,0,1,0.0,1.0
game13_Player3,True,ASSERTION,1,1,1,1.0,1.0
game13_Player4,False,PLAN,2,0,2,0.0,1.0
game13_Player4,False,ASSERTION,4,0,3,0.0,0.75
game14_Player3,False,PLAN,1,0,1,0.0,1.0
game14_Player3,False,ASSERTION,2,0,2,0.0,1.0
game14_Player2,False,PLAN,2,0,1,0.0,0.5
game14_Player2,False,JUSTIFICATION,1,0,1,0.0,1.0
game14_Player2,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game14_Player4,False,PLAN,3,1,3,0.3333333333333333,1.0
game14_Player4,False,JUSTIFICATION,1,0,1,0.0,1.0
game14_Player4,False,ASSERTION,1,1,1,1.0,1.0
game14_Player1,False,PLAN,1,0,1,0.0,1.0
game14_Player1,False,JUSTIFICATION,1,1,1,1.0,1.0
game14_Player5,True,PLAN,2,0,0,0.0,0.0
game14_Player5,True,JUSTIFICATION,1,0,1,0.0,1.0
game14_Player5,True,ASSERTION,2,1,2,0.5,1.0
game15_Player5,True,PLAN,3,0,3,0.0,1.0
game15_Player5,True,ASSERTION,3,0,3,0.0,1.0
game15_Player4,False,PLAN,1,0,1,0.0,1.0
game15_Player4,False,ASSERTION,2,1,2,0.5,1.0
game15_Player2,False,PLAN,2,0,2,0.0,1.0
game15_Player2,False,JUSTIFICATION,1,0,1,0.0,1.0
game15_Player2,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game15_Player3,False,PLAN,3,1,3,0.3333333333333333,1.0
game15_Player3,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game15_Player1,False,PLAN,1,0,1,0.0,1.0
game16_Player1,False,PLAN,3,1,3,0.3333333333333333,1.0
game16_Player1,False,ASSERTION,2,1,2,0.5,1.0
game16_Player2,True,PLAN,1,0,0,0.0,0.0
game16_Player2,True,ASSERTION,2,1,2,0.5,1.0
game16_Player5,False,PLAN,1,0,0,0.0,0.0
game16_Player5,False,ASSERTION,2,1,2,0.5,1.0
game16_Player4,False,PLAN,2,0,1,0.0,0.5
game16_Player4,False,ASSERTION,1,0,1,0.0,1.0
game16_Player3,False,PLAN,2,1,2,0.5,1.0
game16_Player3,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game17_Player2,False,PLAN,1,1,1,1.0,1.0
game17_Player2,False,ASSERTION,1,0,1,0.0,1.0
game17_Player3,False,PLAN,2,1,2,0.5,1.0
game17_Player3,False,ASSERTION,3,0,3,0.0,1.0
game17_Player1,True,PLAN,3,0,3,0.0,1.0
game17_Player1,True,JUSTIFICATION,1,0,1,0.0,1.0
game17_Player5,False,PLAN,2,0,2,0.0,1.0
game17_Player5,False,JUSTIFICATION,1,1,1,1.0,1.0
game17_Player5,False,ASSERTION,2,0,2,0.0,1.0
game17_Player4,False,PLAN,2,0,2,0.0,1.0
game17_Player4,False,ASSERTION,1,0,0,0.0,0.0
game18_Player2,False,PLAN,2,1,2,0.5,1.0
game18_Player1,False,PLAN,1,0,1,0.0,1.0
game18_Player1,False,JUSTIFICATION,1,1,1,1.0,1.0
game18_Player1,False,ASSERTION,1,0,0,0.0,0.0
game18_Player3,True,PLAN,1,0,1,0.0,1.0
game18_Player3,True,JUSTIFICATION,1,0,1,0.0,1.0
game18_Player3,True,ASSERTION,2,0,0,0.0,0.0
game18_Player5,False,PLAN,1,0,1,0.0,1.0
game18_Player5,False,JUSTIFICATION,1,1,1,1.0,1.0
game18_Player5,False,ASSERTION,3,0,3,0.0,1.0
game18_Player4,False,PLAN,2,0,2,0.0,1.0
game18_Player4,False,JUSTIFICATION,1,0,1,0.0,1.0
game18_Player4,False,ASSERTION,2,0,2,0.0,1.0
game19_Player2,False,PLAN,2,2,1,1.0,0.5
game19_Player2,False,ASSERTION,1,0,0,0.0,0.0
game19_Player4,True,PLAN,1,0,1,0.0,1.0
game19_Player4,True,ASSERTION,2,0,1,0.0,0.5
game19_Player5,False,PLAN,1,0,1,0.0,1.0
game19_Player5,False,JUSTIFICATION,1,0,1,0.0,1.0
game19_Player5,False,ASSERTION,1,0,1,0.0,1.0
game19_Player3,False,PLAN,2,0,2,0.0,1.0
game19_Player3,False,ASSERTION,1,1,1,1.0,1.0
game19_Player1,False,PLAN,1,0,1,0.0,1.0
game19_Player1,False,ASSERTION,2,1,2,0.5,1.0
game20_Player4,False,PLAN,2,2,2,1.0,1.0
game20_Player4,False,ASSERTION,1,0,1,0.0,1.0
game20_Player3,True,PLAN,2,0,1,0.0,0.5
game20_Player3,True,ASSERTION,1,1,1,1.0,1.0
game20_Player2,False,PLAN,1,0,1,0.0,1.0
game20_Player2,False,ASSERTION,2,0,2,0.0,1.0
game20_Player5,False,PLAN,2,0,2,0.0,1.0
game20_Player5,False,JUSTIFICATION,1,0,1,0.0,1.0
game20_Player5,False,ASSERTION,2,0,2,0.0,1.0
game20_Player1,False,PLAN,1,0,0,0.0,0.0
game20_Player1,False,JUSTIFICATION,1,0,1,0.0,1.0
game20_Player1,False,ASSERTION,4,1,3,0.25,0.75
